level,model,iteration,temperature,requirement_id,n,mean_coverage,stdev_coverage,min,max
cell,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,,3,0.8545,0.0,0.8545,0.8545
cell,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,,3,0.8136,0.0508,0.7568,0.8545
cell,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,,3,0.85,0.0,0.85,0.85
cell,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,1.0,,3,0.8318,0.0355,0.7909,0.8545
cell,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,3,0.0,,3,0.8682,0.0,0.8682,0.8682
cell,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,3,1.0,,3,0.8591,0.0886,0.7636,0.9386
cell,gemma3:27b,1,0.0,,3,0.6386,0.0,0.6386,0.6386
cell,gemma3:27b,1,1.0,,3,0.6432,0.0082,0.6364,0.6523
cell,gemma3:27b,2,0.0,,3,0.7636,0.0,0.7636,0.7636
cell,gemma3:27b,2,1.0,,3,0.7621,0.0013,0.7614,0.7636
cell,gemma3:27b,3,0.0,,3,0.8545,0.0,0.8545,0.8545
cell,gemma3:27b,3,1.0,,3,0.8583,0.0066,0.8545,0.8659
cell,gpt-oss:120b,1,0.0,,3,0.395,0.0008,0.3945,0.3959
cell,gpt-oss:120b,1,1.0,,3,0.3686,0.0057,0.3623,0.3732
cell,gpt-oss:120b,2,0.0,,3,0.4948,0.0081,0.4855,0.5
cell,gpt-oss:120b,2,1.0,,3,0.4886,0.0084,0.48,0.4968
cell,gpt-oss:120b,3,0.0,,3,0.7402,0.006,0.7332,0.7436
cell,gpt-oss:120b,3,1.0,,3,0.7438,0.0123,0.73,0.7536
cell,llama3.3:70b,1,0.0,,3,0.5636,0.0,0.5636,0.5636
cell,llama3.3:70b,1,1.0,,3,0.5758,0.0105,0.5636,0.5818
cell,llama3.3:70b,2,0.0,,3,0.7,0.0,0.7,0.7
cell,llama3.3:70b,2,1.0,,3,0.6985,0.0026,0.6955,0.7
cell,llama3.3:70b,3,0.0,,3,0.7909,0.0,0.7909,0.7909
cell,llama3.3:70b,3,1.0,,3,0.7909,0.0,0.7909,0.7909
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req1,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req10,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req11,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req12,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req13,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req14,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req15,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req16,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req17,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req18,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req19,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req2,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req20,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req21,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req22,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req3,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req4,3,0.95,0.0,0.95,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req5,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req6,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req7,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req8,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,0.0,req9,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req1,3,0.8667,0.1258,0.75,1.0
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req10,3,0.8333,0.0764,0.75,0.9
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req11,3,0.75,0.1,0.65,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req12,3,0.75,0.1,0.65,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req13,3,0.75,0.1,0.65,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req14,3,0.75,0.1,0.65,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req15,3,0.7333,0.1258,0.6,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req16,3,0.85,0.1,0.75,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req17,3,0.85,0.1,0.75,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req18,3,0.8,0.1323,0.65,0.9
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req19,3,0.8333,0.0764,0.75,0.9
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req2,3,0.85,0.1,0.75,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req20,3,0.8,0.1803,0.6,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req21,3,0.7833,0.2566,0.5,1.0
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req22,3,0.7333,0.1258,0.6,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req3,3,0.85,0.1,0.75,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req4,3,0.9,0.1323,0.75,1.0
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req5,3,0.8333,0.0764,0.75,0.9
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req6,3,0.85,0.1,0.75,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req7,3,0.8333,0.0764,0.75,0.9
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req8,3,0.85,0.1,0.75,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,1,1.0,req9,3,0.85,0.1,0.75,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req1,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req10,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req11,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req12,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req13,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req14,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req15,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req16,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req17,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req18,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req19,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req2,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req20,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req21,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req22,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req3,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req4,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req5,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req6,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req7,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req8,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,0.0,req9,3,0.85,0.0,0.85,0.85
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,1.0,req1,3,0.85,0.1,0.75,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,1.0,req10,3,0.9167,0.0577,0.85,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,1.0,req11,3,0.8333,0.0764,0.75,0.9
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,1.0,req12,3,0.85,0.1,0.75,0.95
requirement,MichelRosselli/apertus:70b-instruct-2509-q4_k_m,2,1.0,req13,3,0.85,0.1,0.75,0.95
